cell_id,cx,cy,cz,volume,sigma_t,sigma_s,q
192,0.6536965391008593,0.7496037141792233,0.9434609711170197,0.00015631375868615092,1.0,0.5,0.0
193,0.5406804606318474,0.15447108447551725,0.386188305914402,0.00030957577987069464,1.0,0.5,0.0
194,0.40217967331409454,0.5699734315276146,0.26899531483650213,0.0006191511267513151,1.0,0.5,0.0
195,0.5658007916211149,0.3958174609689541,0.5510237102758891,0.0004843160675783488,1.0,0.5,0.0
196,0.8378864517464459,0.9447952806949615,0.6408044610885152,0.00012988668914107882,1.0,0.5,0.0
197,0.1997554451227188,0.5380116999149323,0.1944179683923722,0.0006191511267513145,1.0,0.5,0.0
198,0.7132118318780987,0.8620146278576732,0.9717304855585098,0.00013488702638434123,1.0,0.5,0.0
199,0.860297679901123,0.36754921823740005,0.8549602031707764,5.159597834616236e-05,1.0,0.5,0.0
200,0.7150071612473814,0.9723976403474808,0.20226170347736594,0.0001219470592539165,1.0,0.5,0.0
201,0.946129709482193,0.4266110950262823,0.46567030964058265,8.065501005419697e-05,1.0,0.5,0.0
202,0.8816055059432983,0.19708672165870667,0.5353430286049843,0.00010319190256854334,1.0,0.5,0.0
203,0.4021796733140945,0.484742172062397,0.14114843308925631,0.00010319177627981663,1.0,0.5,0.0
204,0.12584529072046283,0.4763387730301444,0.27687086566238706,0.0008126100368338998,1.0,0.5,0.0
205,0.4021796733140945,0.2290484458208084,0.14114843308925631,0.00010319181236230815,1.0,0.5,0.0
206,0.6152578145265579,0.2503562569618225,0.14114843308925631,0.00010319181236230815,1.0,0.5,0.0
207,0.5851079920014943,0.5054982891029843,0.0599203109741211,0.00020582992333322982,1.0,0.5,0.0
208,0.8797040894277757,0.06125468015670775,0.8537483601029535,0.0001435451035321434,1.0,0.5,0.0
209,0.024401452185590124,0.388715117614273,0.023536478979217703,0.0001701701530158607,1.0,0.5,0.0
210,0.17579769492999647,0.27006226527458843,0.07057421654462816,0.00016814842364104959,1.0,0.5,0.0
211,0.13583200424909594,0.23970235139131546,0.15180233865976336,5.159590618115408e-05,1.0,0.5,0.0
212,0.3453195049443964,0.8750865842985371,0.0599203109741211,0.00015583925576723225,1.0,0.5,0.0
213,0.3891884924438952,0.9723976403474808,0.14889901128309535,0.00017866010073219678,1.0,0.5,0.0
214,0.9762758899563937,0.6111431674066414,0.02345111321910869,0.00016484645649043016,1.0,0.5,0.0
215,0.3497219206884741,0.9171929210424423,0.17942716573117867,0.00013367574450371954,1.0,0.5,0.0
216,0.7004891037940979,0.2503562569618225,0.2263796851038933,0.00010319192060980799,1.0,0.5,0.0
217,0.28013519745454496,0.8325860598204717,0.0599203109741211,0.0001744812256933236,1.0,0.5,0.0
218,0.9730648547410965,0.39455109566282,0.7341215642442254,0.00017820126746055081,1.0,0.5,0.0
219,0.860297679901123,0.21839454025030136,0.3222648575901986,5.15959422636456e-05,1.0,0.5,0.0
220,0.3190013197352458,0.8791523949875771,0.02996015548706055,0.00020641265660169272,1.0,0.5,0.0
221,0.12995619050382215,0.7512949966050122,0.6629986191669814,6.632086418956931e-05,1.0,0.5,0.0
222,0.9730648547410965,0.8733713213045966,0.5548077557487556,0.0002048219108304123,1.0,0.5,0.0
223,0.2690486232206542,0.792143128280555,0.02996015548706055,0.00018682197006244814,1.0,0.5,0.0
224,0.6259117275476456,0.6232429444789886,0.13049452751874926,0.00010319181236230817,1.0,0.5,0.0
225,0.25376837048855844,0.8512809257554678,0.08988046646118165,0.00014509428687293,1.0,0.5,0.0
226,0.48741092532873154,0.14381717890501022,0.14114843308925631,0.00010319188452730392,1.0,0.5,0.0
227,0.42151880352529025,0.21189290345552933,0.0599203109741211,0.00011521015465223399,1.0,0.5,0.0
228,0.1997554451227188,0.7510898113250732,0.7058055400848389,0.00010319197473359567,1.0,0.5,0.0
229,0.7963742315769196,0.45278045535087585,0.8762680292129517,0.0001031917943210119,1.0,0.5,0.0
230,0.19356478153200962,0.9489077612363224,0.05538098540966582,0.0001738385234890941,1.0,0.5,0.0
231,0.09388357400894168,0.8705370943441251,0.15209725278600336,0.00015155646152190008,1.0,0.5,0.0
232,0.21880896094398705,0.9253712122728431,0.02996015548706055,0.00020400357761027422,1.0,0.5,0.0
233,0.46205164270045035,0.7488372791404101,0.02996015548706055,0.00020420177539387543,1.0,0.5,0.0
234,0.8496437668800354,0.3355875015258789,0.8016906678676605,0.00020638376905458237,1.0,0.5,0.0
235,0.023117190078582435,0.7591440761660244,0.04671761608474355,0.00015334094953258124,1.0,0.5,0.0
236,0.7518960521372466,0.9482188722264012,0.05307734556564299,0.00028380202912137696,1.0,0.5,0.0
237,0.022411149621867743,0.9739222916080202,0.8293975840368912,0.00017316486653869403,1.0,0.5,0.0
238,0.9191945642232895,0.3200058831737786,0.8262785789599967,0.000130444576446077,1.0,0.5,0.0
239,0.7495677524342235,0.09188202023506162,0.1538111833447796,0.00014832534883027875,1.0,0.5,0.0
240,0.17809562668371562,0.06125468015670775,0.717851479082472,0.00018383922016556144,1.0,0.5,0.0
241,0.43937315146317346,0.9171929210424423,0.18060426362411533,0.00013367574450371954,1.0,0.5,0.0
242,0.5547539618573197,0.9723976403474808,0.9227218853699797,0.0002010815215822069,1.0,0.5,0.0
243,0.4554492011666298,0.19708672165870667,0.17311014980077746,0.00015478775462595388,1.0,0.5,0.0
244,0.5082685768289077,0.42167802569376817,0.9151914566755295,0.00013690676299637477,1.0,0.5,0.0
245,0.23246055189696374,0.8299731295156149,0.08988046646118165,0.00014509428687293,1.0,0.5,0.0
246,0.031294524669647224,0.560719936945965,0.2757501422444294,0.0002516583558048628,1.0,0.5,0.0
