face_id,left_cell,right_cell,nx,ny,nz,area,fx,fy,fz,bc_type,bc_value
5338,1599,4898,-0.4346485314005032,-0.9003540516716518,0.021053165791072907,0.0059381275175742305,0.9640864729881287,0.6847668580249254,0.21847911796837663,internal,0.0
5339,1600,3138,0.3226856133418236,0.6692809555568615,-0.6692809555568615,0.0068602458619785025,0.9281729459762573,0.23297042554065392,0.3328481988106755,internal,0.0
5340,1600,3791,-0.08821810568404947,-0.9961011825259107,0.0,0.004609403127317886,0.9281729459762573,0.20456001068596844,0.3328481988106755,internal,0.0
5341,1600,1633,-1.0,-0.0,-0.0,0.0036321825249689965,0.892259418964386,0.23615104953447977,0.3471239705880484,internal,0.0
5342,1600,2864,0.3693902984462149,0.0,0.9292743445365401,0.004940878797369442,0.9281729459762573,0.23297042554065392,0.361258613665361,internal,0.0
5343,1601,2049,-0.4862569956716208,-0.2162296716833408,-0.8466397482070659,0.019343493106339173,0.6112665204871924,0.506332849203855,0.25218162841434216,internal,0.0
5344,1601,5252,-0.0,-0.934768231077868,-0.355258151444205,0.01042764655469486,0.6254717378486426,0.4353068021330339,0.29479726063047784,internal,0.0
5345,1602,5047,-0.5773504037754728,0.5773504037754728,0.5773500000178378,0.006291118809527146,0.7502073248227438,0.6907176772753397,0.17666145165761316,internal,0.0
5346,1602,2467,-0.5773504037754728,-0.5773504037754728,-0.5773500000178378,0.006291118809527146,0.7502073248227438,0.6623072822888693,0.14825103680292767,internal,0.0
5347,1602,1611,0.5773504037754728,0.5773504037754728,-0.5773500000178378,0.006291118809527146,0.7786177198092142,0.6907176772753397,0.14825103680292767,internal,0.0
5348,1603,3588,-0.9757444789982221,-0.16510288134061396,-0.14374891400464612,0.00537789807514135,0.9056536413003293,0.04083645343780517,0.12272825251386961,internal,0.0
5349,1603,4468,0.7033009921464309,-0.7033009921464335,0.10361191481527599,0.004953781899532692,0.9415671683122007,0.0271129928729214,0.10989437140404361,internal,0.0
5350,1604,4984,0.0,-0.945853102004708,-0.3245949929189783,0.005399449702807084,0.8659651373087378,0.13621820712068713,0.0798937479654948,internal,0.0
5351,1604,2540,0.0,0.0,1.0,0.003632186335103428,0.8354385495185852,0.15091978510220844,0.1198406219482422,internal,0.0
5352,1604,4383,0.6808968385260237,0.680897076611248,0.2697381440351405,0.0075005260353530985,0.8659651373087378,0.16462863190948007,0.0798937479654948,internal,0.0
5353,1605,2539,-0.35655006511288334,-0.7403361439871466,-0.5698898533701415,0.009377704104904032,0.9254648816133467,0.3384798916748113,0.0399468739827474,internal,0.0
5354,1605,2533,0.43330363017326334,0.8997062968886139,0.05269291619989453,0.007716577421416677,0.9254648816133467,0.3668903065294968,0.0399468739827474,internal,0.0
5355,1605,2547,-0.9977100363134626,0.0,0.06763640616849166,0.005118804555540297,0.8895513546014754,0.353436488499669,0.0798937479654948,internal,0.0
5356,1606,4340,0.7400427039353682,0.421404641138305,-0.524170701946537,0.013505067728460907,0.9139677286148071,0.5090506561042235,0.18716218609212634,internal,0.0
5357,1606,3752,-0.6132520418086567,0.0,0.7898872914647467,0.016223895504147285,0.8997625112533569,0.49484544867688074,0.20136739351946908,internal,0.0
5358,1606,1655,0.5089217205325696,-0.8074067147669024,-0.2984846383308312,0.007048613933441942,0.9139677286148071,0.45222982639485254,0.18716218609212634,internal,0.0
5359,1606,3261,-0.7071065339366022,-0.0,-0.7071070284364064,0.0051366835839401995,0.8638489842414856,0.491844783226649,0.1482510368029277,internal,0.0
5360,1607,-1,1.0,-0.0,-0.0,0.004021299752423235,1.0,0.7819076297861867,0.7632190796419662,example1,0.0
5361,1607,4356,-0.46794866290834486,0.26881070463650975,-0.8418817339478956,0.006001499641936868,0.9640864729881287,0.7892252534954224,0.7569342469691694,internal,0.0
5362,1607,4905,0.07528456536076396,0.8361331458646223,0.5433356205928073,0.0045753757248417,0.9640864729881287,0.805106538530699,0.7905884844203391,internal,0.0
5363,1608,4356,0.21910469641677927,-0.9757013539029814,-0.0,0.0047057725979101125,0.9281729459762573,0.8124241622399347,0.7558932567610718,internal,0.0
