face_id,left_cell,right_cell,nx,ny,nz,area,fx,fy,fz,bc_type,bc_value,source_fraction
55002,19681,25929,0.0,0.0,1.0,0.0009080430911510007,0.9277724027633667,0.3000744879245758,0.05591718852519989,internal,0.0,1.0
55003,19681,25016,0.6900394435351013,-0.6900365481513232,-0.21839214404637913,0.001726674811165155,0.9385500726796806,0.3025461296070555,0.03727812568346659,internal,0.0,1.0
55004,19682,25671,0.5646974918555674,0.5835735884906877,-0.5835739966003736,0.0015998845425501467,0.9707884788513184,0.28354988028021416,0.12455194670401443,internal,0.0,1.0
55005,19683,30636,-0.7071067811865476,0.7071067811865476,0.0,0.0012841713450135153,0.8851568102836609,0.2858692705631256,0.1695588479439418,internal,0.0,1.0
55006,19684,25930,0.20654533973838912,-0.978437030489113,-0.0,0.000954226316638943,0.9707884788513184,0.3173629407789189,0.06846422338109236,internal,0.0,1.0
55007,19684,22433,-0.6616135910431332,0.7498449547386511,0.0,0.0012451245524378882,0.9707884788513184,0.32716686234754666,0.0823184172344102,internal,0.0,1.0
55008,19685,-1,0.0,0.0,-1.0,0.0013056955253684013,0.41051820715572074,0.06000914130103091,0.0,example1,0.0,0.0
55009,19685,23257,0.757384851836947,0.5259294264860255,0.3869966725490103,0.0016696831839021964,0.4172742038698889,0.06427898954567324,0.018639062841733296,internal,0.0,1.0
55010,19686,32386,-0.0,1.0,-0.0,0.0018160912624845006,0.5016161402066549,0.05858591943979263,0.08432760337988536,internal,0.0,1.0
55011,19686,32390,0.8898313160797805,-0.10124369686383924,0.44491565803989075,0.0028057850614775274,0.5032668862104548,0.03905727962652842,0.10499264646304508,internal,0.0,1.0
55012,19687,21224,-0.8335465464959658,-0.5391727056564424,0.12038666163558227,0.0015190899174143137,0.6070304810561834,0.06298166101269022,0.018639062841733296,internal,0.0,1.0
55013,19687,19699,-0.03448841663630528,0.878708425226219,0.476111386709433,0.0018539506059136461,0.6166879789600921,0.07884049333813832,0.018639062841733296,internal,0.0,1.0
55014,19687,-1,0.0,-0.0,-1.0,0.0013529564273421213,0.6174568483010593,0.07349010578116857,0.0,example1,0.0,0.0
55015,19687,23248,0.839915038046268,-0.5114801363008938,0.1814684518955157,0.0015836982493985887,0.6264530362112398,0.06374397665130123,0.018639062841733296,internal,0.0,1.0
55016,19688,-1,-0.0,-1.0,0.0,0.0015059450521730205,0.45772111092291473,0.0,0.11821210928705927,example1,0.0,0.0
55017,19688,26706,0.4833436764316821,0.1049497753007642,-0.8691170433939405,0.0017294792364413918,0.4594027575854068,0.01952863981326421,0.10194015264393984,internal,0.0,1.0
55018,19689,19831,0.7071070284364065,-0.707106533936602,-0.0,0.0012841708959850497,0.20330673952897393,0.5415629744529724,0.07012239595254262,internal,0.0,1.0
55019,19689,28374,-1.0,0.0,0.0,0.0009080462662645061,0.1891015321016312,0.5415629744529724,0.07012239595254262,internal,0.0,1.0
55020,19689,32995,-0.0,-0.0,-1.0,0.0009080462662645061,0.20330673952897393,0.5557681918144226,0.05591718852519989,internal,0.0,1.0
55021,19689,23313,0.0,0.707106533936602,0.7071070284364065,0.0012841708959850497,0.20330673952897393,0.5557681918144226,0.07012239595254262,internal,0.0,1.0
55022,19690,30397,0.0,0.0,1.0,0.0009080469012872048,0.28853800892829895,0.6267942786216736,0.09853281080722809,internal,0.0,1.0
55023,19690,29843,0.7071067811865485,0.7071067811865466,-0.0,0.0012841713450135136,0.30274322628974915,0.6267942786216736,0.08432760337988536,internal,0.0,1.0
55024,19690,33040,0.0,-1.0,0.0,0.0009080462662645037,0.30274322628974915,0.6125890612602234,0.08432760337988536,internal,0.0,1.0
55025,19691,23080,-0.5773502691895549,-0.5773500673109261,0.5773504710683257,0.0015727822687935345,0.24592236677805587,0.6267942786216736,0.08432760337988536,internal,0.0,1.0
55026,19691,32999,0.0,0.707106533936602,-0.7071070284364066,0.0012841713450137515,0.24592236677805587,0.6409994959831238,0.08432760337988536,internal,0.0,1.0
55027,19692,31710,-0.7071070284364065,-0.707106533936602,0.0,0.0025683417919700993,0.21751194695631668,0.584178626537323,0.09853281080722809,internal,0.0,1.0
55028,19692,31759,0.4082484807969265,0.8164963905945959,0.4082484807969265,0.002224248978200588,0.21751194695631668,0.5983838438987732,0.09853281080722809,internal,0.0,1.0
55029,19693,32998,0.8600352369144181,-0.49006330318649893,-0.14204699974127716,0.0016614973340680185,0.2243941211766163,0.5679271007024241,0.018639062841733296,internal,0.0,1.0
55030,19693,21624,-0.7712760396747504,0.4394867412964168,-0.46041793497678735,0.0018527040642160406,0.2101889137492736,0.5679271007024241,0.018639062841733296,internal,0.0,1.0
55031,19693,32995,0.0,-0.8901490218760407,0.45566952811563777,0.0013385094667860689,0.20899659266147422,0.5604320259233132,0.03727812568346659,internal,0.0,1.0
55032,19694,20402,-0.0,0.8758334168512981,0.48261353682483893,0.0013603885201662373,0.30493688232758426,0.6228598089481672,0.03727812568346659,internal,0.0,1.0
55033,19694,33027,0.8532644559195076,-0.4926324633150682,-0.1710351553117506,0.0016692192601868872,0.3115318341582421,0.6161496663658278,0.018639062841733296,internal,0.0,1.0
55034,19695,29843,-0.5773501346037798,-0.5773501346037784,-0.5773505383612251,0.0015727826354239517,0.30274322628974915,0.6409994959831238,0.08432760337988536,internal,0.0,1.0
