cell_id,cx,cy,cz,volume,sigma_t,sigma_s,q
115,0.5984455899280654,0.31327682466977963,0.027958594262599945,2.0232256300786423e-05,1.0,0.5,0.0
116,0.03062732517719269,0.8938562365080408,0.7745367225160756,2.3559943968216188e-05,1.0,0.5,0.0
117,0.03062732517719269,0.9387733212805373,0.33315664919017524,1.9027796124692378e-05,1.0,0.5,0.0
118,0.03062732517719269,0.7018512995804049,0.24178468153988664,2.559221524789794e-05,1.0,0.5,0.0
119,0.06338641699738067,0.9767570197582245,0.5087899400915836,1.4928253678291655e-05,1.0,0.5,0.0
120,0.7532397405903339,0.6857153032313557,0.6185271349587782,2.466923667620998e-05,1.0,0.5,0.0
121,0.1038702838122845,0.8469749689102173,0.48207350820302963,5.159589265020721e-05,1.0,0.5,0.0
122,0.5747688592186142,0.9883785098791122,0.38597525875357924,2.321685276705588e-05,1.0,0.5,0.0
123,0.9671370387077332,0.35590678234310663,0.4054575592022208,2.6525412710966948e-05,1.0,0.5,0.0
124,0.945829302072525,0.12465672483499748,0.2953723462011864,4.972345492867578e-05,1.0,0.5,0.0
125,0.11985114589333537,0.7777245938777924,0.7111324965953827,1.289899458654059e-05,1.0,0.5,0.0
126,0.04594098776578904,0.21996462219333007,0.2947541821084504,1.854068551521251e-05,1.0,0.5,0.0
127,0.08256246894598009,0.6338968873023987,0.24768749624490738,2.5797989173084328e-05,1.0,0.5,0.0
128,0.17970078850367077,0.4275488635969341,0.9877113401889801,2.445756876191707e-05,1.0,0.5,0.0
129,0.12855476562524853,0.870949431283878,0.027958594262599945,2.1037313228092835e-05,1.0,0.5,0.0
130,0.3489101380109787,0.8789366483688354,0.7910367250442505,1.2898985565905125e-05,1.0,0.5,0.0
131,0.11481268890879368,0.9636759192908834,0.9877113401889801,2.3093303653993623e-05,1.0,0.5,0.0
132,0.07855097376893505,0.9651355296373367,0.5831997847074708,1.4070433177369511e-05,1.0,0.5,0.0
133,0.33825623989105225,0.21839454025030136,0.8975758403539658,2.5797953090577035e-05,1.0,0.5,0.0
134,0.10743423896484652,0.9883785098791122,0.7364025881027143,2.0534588054676328e-05,1.0,0.5,0.0
135,0.03062732517719269,0.8246970563808589,0.7521475760759383,2.578357896651729e-05,1.0,0.5,0.0
136,0.7750664353370667,0.07989373430609702,0.8336523771286011,2.5797957600875844e-05,1.0,0.5,0.0
137,0.13050505146384242,0.7990324199199677,0.9348645061254501,1.9348473838552503e-05,1.0,0.5,0.0
138,0.9890456795692444,0.3539297067943737,0.8283929389997546,2.188401332002145e-05,1.0,0.5,0.0
139,0.9295480251312256,0.08522068709135054,0.7750558853149414,2.5797858374088805e-05,1.0,0.5,0.0
140,0.07190855965018274,0.09054763987660407,0.8443062901496887,2.579798240761008e-05,1.0,0.5,0.0
